hourTimestamp,MAGMA Melter/Properties/Glass Exit Tonnage Total,Gob Properties/Feeder 1/Pull Rate,Simplified Batch System/Hopper_Charger/Batch Charger Speed Controller Process Variable,MAGMA Melter/Stilling Chamber/Temperature/Melter Stilling Chamber Temperature 1,MAGMA Melter/Properties/Temperature/Melter Top Temperature 1,Glass Properties/Stilling Chamber/Level/Melting Stilling Chamber Radar Level,MECS/Line Utilities/Source Flue Temperature,MAGMA Melter/Properties/Furnace Pressure 2,MECS/Stack Flow Rate,MECS/Line Utilities/Exhaust System Inlet Duct Temperature,MECS/Exhaust Fan 1/Speed/Exhaust Fan 1 Speed Controller Process Variable,MECS/Exhaust Fan 2/Speed/Exhaust Fan 2 Speed Controller Process Variable,MAGMA Melter/Properties/Temperature/Melter Bottom Temperature 1,Water_Cooling,Circuit_Q,Burner_Q,MAGMA Melter/Line Utilities/Oxygen Fuel Sum Gas Energy,Gob Properties/Feeder 1/Gob A/Gob Values/Bubbles,Gob Properties/Feeder 1/Gob B/Gob Values/Bubbles,Energy per ton
2024-11-13 18:00:00+00:00,0.002332649,95.90852823,37.92446893,2498.98335,2396.871654,272.4890978,802.6881582,-1.736761311,6854.658228,526.798597,49.99865151,24.81470403,2396.872919,9.790546674,7.326414992,2.464131682,21.07359475,0.256451032,0.260233365,5.273423368
2024-11-13 19:00:00+00:00,0.00237704,95.90194773,35.59901049,2493.322698,2399.876705,286.7154873,796.1748314,-1.736310035,7292.966468,534.2793815,52.5902753,24.81229984,2377.925323,9.667598481,7.272717619,2.394880862,20.90307008,0.274638307,0.279171153,5.23111046
2024-11-13 20:00:00+00:00,0.002295483,95.87612243,35.20872285,2495.079123,2396.737465,283.3549199,796.609509,-1.736124636,7337.363779,520.8384419,52.32436626,24.80676296,2371.847119,9.773519054,7.239358301,2.534160754,21.23087416,0.305456835,0.312943404,5.314576423
2024-11-13 21:00:00+00:00,0.002333003,95.89887364,35.72392246,2494.317388,2390.435451,276.6639718,800.6939891,-1.734737884,7338.503129,516.7493977,51.58682946,24.79953539,2366.243285,9.61080407,7.157184804,2.453619266,21.41204898,0.285149143,0.291656527,5.358657052
2024-11-13 22:00:00+00:00,0.002325336,95.87833226,36.48124595,2498.267965,2398.879742,276.9006172,799.2879427,-1.735790563,7282.553191,516.4230443,50.75706573,24.80045235,2372.347676,9.623201456,7.202584357,2.420617098,21.35625709,0.298348763,0.305183316,5.345839441
2024-11-13 23:00:00+00:00,0.002312696,95.91694138,38.60682632,2500.536865,2400.5339,274.0228506,801.0948857,-1.734406907,7315.970877,516.4949472,50.72571683,24.80030054,2376.685855,9.743548097,7.220824369,2.522723729,21.38796901,0.298968178,0.306667709,5.351622444
2024-11-14 00:00:00+00:00,0.002343663,95.93911453,39.85844189,2489.325349,2394.766665,280.1608465,802.7335244,-1.735817855,7446.011849,519.0879544,51.42064256,24.79890656,2360.542556,9.663058283,7.18554515,2.477513133,21.56402302,0.294691773,0.300507781,5.394427028
2024-11-14 01:00:00+00:00,0.002351308,95.8671471,39.76419633,2494.72707,2398.377203,278.8359072,799.8717175,-1.73629501,7466.425157,520.1895482,51.62638724,24.80348868,2349.508711,9.555966435,7.167688813,2.388277621,21.5243915,0.285530024,0.290370792,5.388555012
2024-11-14 02:00:00+00:00,0.002349223,95.88415597,41.91211549,2493.945775,2395.787442,277.0443556,800.7711199,-1.735085929,7482.398996,520.0185239,51.69478701,24.80591287,2348.498918,9.653877702,7.158965825,2.494911877,21.54120784,0.304643518,0.31157041,5.391808302
2024-11-14 03:00:00+00:00,0.002350068,95.88409937,40.46146794,2492.123162,2398.330314,282.2902021,800.0639244,-1.736272338,7503.81749,521.2575378,51.97676932,24.80101327,2336.161298,9.555103622,7.10875963,2.446343992,21.67873206,0.349923216,0.357288744,5.426234098
